Mapper Spacer Calibration File
Film	R	G	B
-10	35	64	171
-9	36	66	174
-8	37	69	178
-7	39	71	181
-6	40	74	184
-5	42	77	187
-4	44	80	189
-3	46	84	192
-2	48	87	194
-1	50	90	195
0	52	94	196
1	54	97	198
2	57	102	199
3	59	105	199
4	61	110	200
5	64	113	200
6	66	117	200
7	69	121	199
8	72	124	199
9	74	129	198
10	77	132	196
11	80	136	195
12	83	139	193
13	85	143	192
14	87	145	189
15	91	149	187
16	93	151	186
17	95	154	184
18	98	156	180
19	101	158	178
20	103	160	175
21	105	162	172
22	108	163	168
23	110	164	166
24	113	165	163
25	115	166	159
26	117	166	156
27	119	166	152
28	121	166	149
29	123	166	145
30	125	165	142
31	127	165	137
32	128	164	133
33	130	163	130
34	131	162	125
35	132	160	122
36	134	159	118
37	135	157	115
38	136	155	110
39	137	153	107
40	138	150	103
41	138	149	99
42	139	146	95
43	139	143	91
44	140	141	88
45	140	138	84
46	140	135	81
47	140	132	77
48	140	130	74
49	140	126	71
50	140	123	68
51	139	120	64
52	139	117	62
53	138	114	59
54	138	111	56
55	137	109	53
56	136	105	50
57	135	103	48
58	135	100	46
59	134	97	43
60	132	95	41
61	131	92	40
62	130	90	38
63	129	88	35
64	127	85	34
65	126	84	33
66	125	81	31
67	124	79	29
68	122	77	28
69	120	75	27
70	119	73	26
71	116	71	25
72	115	70	24
73	113	67	22
74	111	65	21
75	109	64	20
76	108	62	19
77	105	60	18
78	103	58	17
79	102	57	15
80	99	55	14
81	97	53	14
82	95	51	13
83	93	49	12
84	91	47	11
85	88	45	10
86	87	44	10
87	84	42	8
88	82	40	8
89	80	39	7
90	77	38	7
91	76	36	6
92	73	34	6
93	71	32	6
94	69	31	6
95	67	30	6
96	65	28	6
97	63	27	6
98	61	26	7
99	59	24	7
100	58	24	8
101	55	23	8
102	54	21	10
103	52	20	11
104	50	19	12
105	49	18	13
106	47	18	14
107	46	17	15
108	44	16	17
109	43	15	18
110	41	14	19
111	40	14	21
112	39	13	22
113	37	12	24
114	36	12	26
115	36	11	28
116	34	11	29
117	33	11	32
118	32	11	34
119	31	10	35
120	30	10	38
121	29	9	40
122	28	9	42
123	28	9	45
124	27	9	48
